IMDDecil,Decil_pop,2ha_500m_eucl,2ha_500m_iso,1260m_eucl,1260m_iso
1,14305.096720147885,614.2920817047135,391.0716473914824,14130.069173576607,11928.823648279227
2,25414.957852866963,746.1748338691589,19.208026977823266,24514.355574580557,22378.705693402964
3,24911.556906419297,311.00413250746277,NA,23974.41470664967,20024.35654713458
4,16519.730594759087,2519.4866217501385,1510.6043644798283,16519.730594759087,15749.54108496538
5,18300.24306898732,374.48663043665306,7.941219057376586,17243.82386331501,15640.686223185121
6,15173.00306497535,376.59452297916323,125.6377098762056,14264.203553011008,12028.750554597134
7,11824.672458326873,3107.506203149296,2514.78293227005,9688.778059436692,8014.2379037238825
8,17639.073531708047,3654.9818321276466,2109.1324316110877,16742.382595912695,13638.275444808936
9,10108.434063910774,2523.4590909393332,1287.9507049392973,7694.36462942253,5095.710209759837
10,3231.8592887831974,895.3427381136174,818.1402782665044,2182.019006622809,1667.4773619551972
